id,latitude,longitude,int_backrest
1718620715,43.494139,1.4202358,0
1718623955,43.4746139,1.4949596,0
2482928991,43.4947,1.435102,0
2911847753,43.4567352,1.4162713,0
2911847754,43.4568342,1.4158925,0
2911848332,43.4009453,1.4501368,0
2911848349,43.4847069,1.4006956,0
2974137334,43.4674665,1.4533674,0
4497565090,43.4832922,1.4015119,0
4497565091,43.4010193,1.4498803,0
5111327232,43.4291834,1.4441411,0
5111341524,43.4324129,1.4382533,0
5111354833,43.4210658,1.4413111,0
5111354835,43.4054239,1.4470025,0
5111362422,43.4325108,1.4435135,0
5111362721,43.425725,1.442728,0
5113347632,43.4335063,1.4334811,0
5143463926,43.4501614,1.4010466,0
5330981749,43.4591484,1.4011015,0
5330981750,43.4587064,1.4009218,0
7873657786,43.4724556,1.4911593,0
7926195263,43.4872656,1.4877079,0
8463239011,43.4518887,1.4934699,0
8463872308,43.4544263,1.4973406,0
935433249,43.479848,1.5262902,0
936769624,43.4567589,1.5219724,0
936769639,43.4571677,1.5213873,0
988731545,43.4618506,1.5712103,0
988731546,43.4617061,1.5711473,0
991424400,43.4984112,1.5046188,0
1004309637,43.4581241,1.570567,0
1501416383,43.4120194,1.5227504,0
1718365728,43.4992925,1.5153894,0
1718451605,43.4847174,1.5255575,0
1718451643,43.4867748,1.531711,0
1718620383,43.4649638,1.5655848,0
1718620390,43.4653064,1.5652881,0
1718623987,43.476863,1.5005363,0
1734958263,43.4733262,1.551148,0
1734958266,43.4721447,1.5526268,0
1756118313,43.4376321,1.5515208,0
2216405445,43.4367645,1.5985538,0
2216410789,43.488554,1.569242,0
2216414871,43.4946996,1.5209026,0
2216415510,43.4966554,1.5182909,0
2216415656,43.4970111,1.5181045,0
6582272953,43.4476786,1.5974006,0
6618556387,43.4563704,1.58061,0
7873657800,43.4890496,1.5142525,0
9501126214,43.4718548,1.5532935,0
9621337649,43.4781877,1.5768821,0
10280861429,43.4007423,1.5606929,0
10280861441,43.4013023,1.565341,0
10282102005,43.4012913,1.5653586,0
1718431682,43.4989278,1.6223391,0
1718431698,43.4992551,1.6220197,0
1734111673,43.4910559,1.6423107,0
1843515845,43.416635,1.6396005,0
1843515846,43.4167016,1.6394789,0
2216406722,43.4537707,1.6131127,0
2216408120,43.4575669,1.6059266,0
2915125106,43.4220763,1.6843966,0
2915125111,43.4431825,1.6439102,0
6582272954,43.4497587,1.6084212,0
6582272973,43.4518411,1.6264147,0
6582272975,43.4385143,1.6529958,0
6582272976,43.4388473,1.6526924,0
6582272981,43.4344039,1.6643954,0
6618542872,43.4538269,1.6133345,0
8303822220,43.4003868,1.6638321,0
8303822225,43.4079769,1.6559218,0
8303822226,43.4081167,1.6559099,0
8836975264,43.4239495,1.6267217,0
9501126832,43.4178181,1.6293493,0
9501126833,43.4168459,1.6396171,0
12792123758,43.4179457,1.6411197,0
12792123759,43.4179156,1.6411454,0
1347172970,43.4004097,1.721776,0
1399646641,43.4994179,1.7030553,0
2914710459,43.4698126,1.7480319,0
2914710460,43.4699535,1.7796996,0
2914710461,43.4700402,1.7476761,0
5348932988,43.4032904,1.7119426,0
6582272992,43.4090154,1.706441,0
6694269036,43.4681829,1.796101,0
1352684070,43.4502048,1.8837264,0
1352684096,43.4615629,1.8342663,0
2915027858,43.4944935,1.8966678,0
2914710450,43.4488167,1.9160003,0
2914710451,43.448898,1.9169105,0
2915027853,43.4807336,1.9169287,0
2915027854,43.4815596,1.9157887,0
2915027857,43.48937,1.905168,0
6649604471,43.478487,1.9236,0
6649604474,43.4764181,1.9289952,0
6649604481,43.471748,1.9501859,0
6660277907,43.4762031,1.929177,0
6660277908,43.47851,1.92327,0
7368424670,43.4934824,1.9288396,0
6581436926,43.4506026,2.01115,0
6649604493,43.461513,2.00471,0
6660277890,43.434534,2.018524,0
6660277892,43.441109,2.0238907,0
624140555,,,0
1443048628,,,0
1443050876,,,0
1371661617,43.4952252,2.1509926,0
13074226817,43.4106543,2.2996164,0
1422643647,,,0
6556728922,43.4983204,2.373928,0
6910492198,43.4915714,2.3747824,0
9730107061,43.4938511,2.3909412,0
9730107100,43.4909508,2.3762159,0
9730345552,43.4974604,2.360006,0
9730345573,43.4900381,2.3751926,0
2483302540,43.5153056,1.176398,0
2483302541,43.5150234,1.1759833,0
