id,latitude,longitude,int_backrest
8194453337,43.4661739,1.3306037,0
8194453340,43.4661063,1.3308005,0
8194453341,43.4661576,1.3307012,0
8194453342,43.466082,1.3305872,0
8194453347,43.4661603,1.3313201,0
8194453348,43.4661707,1.3314284,0
8194453349,43.4661479,1.3315116,0
8194453350,43.4661099,1.3313688,0
8194453351,43.4660936,1.331243,0
8194453462,43.4678116,1.3336278,0
8194453463,43.4677877,1.3336138,0
8194453464,43.4677668,1.3335983,0
8194453465,43.4677381,1.3335816,0
8194453466,43.467868,1.3336667,0
8194453467,43.467888,1.3336808,0
8194453468,43.4679133,1.3336969,0
8194453469,43.4679337,1.333709,0
8194453472,43.4680486,1.3337345,0
8194453473,43.4680612,1.3336996,0
8194453474,43.4680836,1.3336346,0
8194453475,43.4680943,1.333601,0
8194453476,43.4681148,1.3335427,0
8194453477,43.4681235,1.3335199,0
8194453478,43.4681367,1.3334803,0
8194453479,43.4681454,1.3334562,0
8194453480,43.4680082,1.3337626,0
8194453481,43.4679814,1.3337385,0
8195257954,43.467193,1.3351976,0
8195257955,43.4671575,1.3350454,0
8195257956,43.4671371,1.3349596,0
8195257963,43.46767,1.3355322,1
8195257964,43.4677931,1.3355255,1
8195257968,43.4676914,1.3353197,1
8195257969,43.4677425,1.3352989,1
8195293920,43.4548855,1.3304266,0
8195293921,43.4549692,1.3305004,0
8195293922,43.4547662,1.3303442,0
8195293923,43.454793,1.3303421,0
8220005487,43.4608743,1.3241751,0
8433255329,43.4591557,1.3268573,0
8433255331,43.4591221,1.3269498,0
8433255332,43.4591012,1.3268781,0
8433255355,43.4593436,1.3267929,1
8433255357,43.4594134,1.3268623,1
8737199860,43.463613,1.3284334,0
8737199864,43.4631,1.3285055,0
8737199865,43.4634402,1.3275828,0
8737199866,43.4631818,1.3265046,0
8739645293,43.4677067,1.3349482,0
8739645294,43.4677201,1.3349126,0
8739645297,43.4678254,1.3348979,0
8739645298,43.4676782,1.335032,0
8739645301,43.4677386,1.3351477,0
8739645302,43.4677631,1.3351393,0
8739645303,43.4678607,1.3350524,0
8739645304,43.4678785,1.3350229,0
8739651991,43.4631175,1.3272234,0
8769164216,43.4383545,1.3135231,0
8823923179,43.4611062,1.328915,0
8823923180,43.461115,1.3288284,0
8823923181,43.461093,1.328732,0
9213358115,43.4611923,1.3291724,0
9214196803,43.4688645,1.3312112,0
9214196804,43.4688581,1.3311904,0
